date,id,YOLL1,YOLL2,YOLL3,humrel,meantemp,maxtemp,mintemp,o3,year,month,week,YLL,month_mean,yll_total,HW,HW_lag1,HW_lag2,HW_lag3,o3_lag1,o3_lag2,o3_lag3,HW_lag0_2,no2,no2_lag1,no2_lag2,no2_lag3,total_death
7/13/1991,135,1104.6,1033.13,912.37,69.1,20.56,24.2,17,24.1667,2,2,7,3050.1,21.39427,3050.1,0,0,0,0,18.75,9.130435,12.91667,0,33.39219,37.0975,34.63469,35.94375,43
7/14/1991,136,960.49,725.54,1230.88,59.5,21.03,26.6,15.3,20,2,2,7,2916.91,21.39427,2916.91,0,0,0,0,24.16667,18.75,9.130435,0,22.71228,33.39219,37.0975,34.63469,43
7/17/1991,139,1267.23,659.77,1088.39,67.1,23.03,27.6,20.1,56.25,2,2,7,3015.39,21.39427,3015.39,0,0,0,0,,,20,0,44.49848,30.10844,34.21313,22.71228,43
7/18/1991,140,1148.47,1132.24,438.19,71,24.79,29.5,19.7,43.75,2,2,7,2718.9,21.39427,2718.9,0,0,0,0,56.25,,,0,60.1725,44.49848,30.10844,34.21313,40
7/19/1991,141,767.05,277.05,608.17,61,27.56,32.5,22.4,63.75,2,2,7,1652.27,21.39427,1652.27,1,0,0,0,43.75,56.25,,0.3333333,44.75219,60.1725,44.49848,30.10844,23
7/20/1991,142,922.85,358.03,642.69,61.2,28.2,32.6,24.3,68.3333,2,2,8,1923.57,21.39427,1923.57,1,1,0,0,63.75,43.75,56.25,0.6666667,30.92937,44.75219,60.1725,44.49848,28
7/21/1991,143,1515.51,849.1,869.53,71.1,23.67,26.5,20.7,35.4167,2,2,8,3234.14,21.39427,3234.14,0,1,1,0,68.33334,63.75,43.75,0.6666667,25.47125,30.92937,44.75219,60.1725,46
7/22/1991,144,825.18,775.67,391.1,46.8,21.34,24.7,15.3,27.5,2,2,8,1991.95,21.39427,1991.95,0,0,1,1,35.41667,68.33334,63.75,0.3333333,25.58219,25.47125,30.92937,44.75219,27
7/23/1991,145,595.22,637.08,1082.19,67,22.63,29.9,16.1,25,2,2,8,2314.49,21.39427,2314.49,0,0,0,1,27.5,35.41667,68.33334,0,30.20727,25.58219,25.47125,30.92937,34
7/24/1991,146,1023.99,802.84,838.19,54.6,22.16,26.4,17.5,26.6667,2,2,8,2665.02,21.39427,2665.02,0,0,0,0,25,27.5,35.41667,0,25.0275,30.20727,25.58219,25.47125,38
7/25/1991,147,867.37,840.19,527.54,61.4,20.98,27.1,16.2,24.5833,2,2,8,2235.1,21.39427,2235.1,0,0,0,0,26.66667,25,27.5,0,34.00393,25.0275,30.20727,25.58219,33
7/26/1991,148,777.3,823.36,1106.47,64.9,21.25,25.5,17.1,20.4167,2,2,8,2707.13,21.39427,2707.13,0,0,0,0,24.58333,26.66667,25,0,38.73938,34.00393,25.0275,30.20727,39
7/27/1991,149,1063.73,820.63,922.15,55.1,19.67,24.2,14.6,16.6667,2,2,9,2806.51,21.39427,2806.51,0,0,0,0,20.41667,24.58333,26.66667,0,16.48531,38.73938,34.00393,25.0275,41
7/28/1991,150,832.95,478.79,375.78,56.8,19.8,25.5,12.8,15.4167,2,2,9,1687.52,21.39427,1687.52,0,0,0,0,16.66667,20.41667,24.58333,0,15.42031,16.48531,38.73938,34.00393,25
